label	direct_eigen
CGD-rec.lex-smallest.trans!inclusive.gain	0.884753028407471
CGD-rec.lex-smallest.trans!inclusive.loss	0.9998727552036908
CGD-rec.lex-smallest.trans!stringent.both	0.9999968964806432
CGD-rec.lex-smallest.trans!stringent.gain	0.9983296214083137
CGD-rec.lex-smallest.trans!stringent.loss	0.9999987759336252
Cancer-gain.all.cds!inclusive.both	0.9388054206074546
Cancer-gain.all.cds!inclusive.gain	1.0000000000175302
Cancer-gain.all.cds!inclusive.loss	0.9157574521382064
Cancer-gain.all.cds!stringent.both	0.8323966798128746
Cancer-gain.all.cds!stringent.gain	1.0000000000307878
Cancer-gain.all.cds!stringent.loss	0.7990628878414857
Cancer-gain.all.exon!inclusive.both	0.9987417872011215
Cancer-gain.all.exon!inclusive.gain	1.0000000001259173
Cancer-gain.all.exon!inclusive.loss	0.9973988678556226
Cancer-gain.all.exon!stringent.both	0.9641785212975862
Cancer-gain.all.exon!stringent.gain	1.000000000638845
Cancer-gain.all.exon!stringent.loss	0.9440976406326715
Cancer-gain.all.intron!inclusive.both	0.9882395734594595
Cancer-gain.all.intron!inclusive.gain	1.0000000001232492
Cancer-gain.all.intron!inclusive.loss	0.9801410762590624
Cancer-gain.all.intron!stringent.both	0.8901801742230557
Cancer-gain.all.intron!stringent.gain	1.0000000005450924
Cancer-gain.all.intron!stringent.loss	0.8529997402823266
Cancer-gain.all.trans!inclusive.both	0.9709943633551106
Cancer-gain.all.trans!inclusive.gain	1.0000000000175302
Cancer-gain.all.trans!inclusive.loss	0.9580913047093141
Cancer-gain.all.trans!stringent.both	0.8816819618811996
Cancer-gain.all.trans!stringent.gain	1.0000000000307878
Cancer-gain.all.trans!stringent.loss	0.855686374851393
Cancer-gain.lex-smallest.cds!inclusive.both	0.8721259678249684
Cancer-gain.lex-smallest.cds!inclusive.gain	1.0000000000175302
Cancer-gain.lex-smallest.cds!inclusive.loss	0.8320197044567126
Cancer-gain.lex-smallest.cds!stringent.both	0.7569128837621183
Cancer-gain.lex-smallest.cds!stringent.gain	1.0000000000307878
Cancer-gain.lex-smallest.cds!stringent.loss	0.7110741537433749
Cancer-gain.lex-smallest.exon!inclusive.both	0.9943427125205048
Cancer-gain.lex-smallest.exon!inclusive.gain	1.0000000000158171
Cancer-gain.lex-smallest.exon!inclusive.loss	0.9903009817298011
Cancer-gain.lex-smallest.exon!stringent.both	0.9249942891703429
Cancer-gain.lex-smallest.exon!stringent.gain	1.000000000482206
